,cluster_id,product_id,product_name,brand,link,listed_price
128,292.0,746160,Juego 3 cucharas mesa COPACABANA Maresias,COPACABANA,https://www.devoto.com.uy/juego-3-cucharas-mesa-copacabana-maresias-746160/p,149.0
129,292.0,548963,Contenedor FUEL glacier tropical,-,https://www.devoto.com.uy/contenedor-fuel-glacier-tropical-548963/p,369.0
130,292.0,551160,Sartén turim antiadherente TRAMONTINA 13 cm,TRAMONTINA,https://www.devoto.com.uy/sarten-13-cm-turim-antiadherente-tramontina---551160/p,229.0
131,292.0,481305,Batidor antiadherente,-,https://www.devoto.com.uy/batidor-antiadherente-481305/p,449.0
132,292.0,638096,Repasador felpudo 37x52 cm ajedrez blanco/rojo,-,https://www.devoto.com.uy/repasador-felpudo-37x52-cm-ajedrez-blanco-rojo-638096/p,79.0
133,292.0,493673,Tupper con cuchara para bebé SKIP HOP celeste,SKIP HOP,https://www.devoto.com.uy/tupper-con-cuchara-para-bebe-skip-hop-celeste-493673/p,790.0
134,292.0,487460,Bowl 13 cm melamina blanco,-,https://www.devoto.com.uy/bowl-13-cm-melamina-blanco-487460/p,49.0
135,294.0,345440,Maní tostado sin sal LA ABUNDANCIA 400 g,LA ABUNDANCIA,https://www.devoto.com.uy/mani-tostado-sin-sal-la-abundancia-400-g-345440/p,188.0
136,294.0,720040,Almendra pelada RIO DE LA PLATA 100 g,RIO DE LA PLATA,https://www.devoto.com.uy/almendra-pelada-rio-de-la-plata-100-g-720040/p,165.0
137,294.0,413485,Almendra Natural Pelada 150 g,-,https://www.devoto.com.uy/almendra-natural-pelada-pt-150-g-413485/p,249.0
138,294.0,661653,Miel pura de abeja CABRAL 180 g,CABRAL,https://www.devoto.com.uy/miel-pura-de-abeja-cabral-180-g-661653/p,119.0
139,294.0,686125,Miel LOS NIETITOS 250 g,LOS NIETITOS,https://www.devoto.com.uy/miel-los-nietitos-pt-250-g-686125/p,127.0
140,294.0,666992,Azúcar blanca PRECIO LÍDER 1 kg,PRECIO LÍDER,https://www.devoto.com.uy/azucar-blanca-precio-lider-1-kg-666992/p,48.0
141,294.0,443185,Huevo color PRODHIN especial 6 un.,PRODHIN,https://www.devoto.com.uy/huevo-color-especial-prodhin-cj-6-un-443185/p,124.0
142,295.0,497255,Bowl 25 cm acero inoxidable,-,https://www.devoto.com.uy/bowl-25cm-acero-inox-497255/p,490.0
143,295.0,865029,Juego de espátulas ILKO,ILKO,https://www.devoto.com.uy/juego-de-espatulas-ilko-865029/p,249.0
144,295.0,486063,Contenedor ATMAFRESH Rectangular 500 ml,-,https://www.devoto.com.uy/contenedor-atmafresh-rectangular-500-ml-486063/p,99.0
145,295.0,447350,Asadera cuadrada 37x26x1.8cm antiadherente,-,https://www.devoto.com.uy/asadera-cuadrada-37x26x1-8-cm-antiadherente-447350/p,269.0
146,295.0,481290,Batidor antiadherente NORPRO,NORPRO,https://www.devoto.com.uy/batidor-antiadherente-norpro-481290/p,199.0
147,295.0,783755,Bowl mixing 28cm acero mate,-,https://www.devoto.com.uy/bowl-mixing-28cm-acero-mate-783755/p,299.0
148,296.0,270449,Queso danbo BANIL 50 g,BANIL,https://www.devoto.com.uy/queso-danbo-banil-el-kg-270449/p,590.0
149,296.0,271751,Queso muzzarella Parmalat x 50 g,PARMALAT,https://www.devoto.com.uy/queso-muzzarella-parmalat-kg-271751/p,520.0
150,296.0,300748,Jamón cocido gran Verona SARUBBI x 50 g,SARUBBI,https://www.devoto.com.uy/jamon-cocido-gran-verona-sarubbi-el-kg-300748/p,950.0
151,296.0,270611,Queso Tilsit Fetas FARMING 200 g,FARMING,https://www.devoto.com.uy/queso-tilsit-fetas-farming-bj-200-g-270611/p,189.0
152,296.0,271779,Queso crema FARMING natural 200 ml,FARMING,https://www.devoto.com.uy/queso-crema-natural-farming-pt-200-ml-271779/p,199.0
153,296.0,271791,Queso crema FARMING natural light 200 g,FARMING,https://www.devoto.com.uy/queso-crema-natural-light-farming-200-g-271791/p,199.0
154,296.0,271784,Queso crema FARMING azul 200 g,FARMING,https://www.devoto.com.uy/queso-crema-azul-farming-pt-200-g-271784/p,215.0
155,296.0,270601,Queso grana padano FARMING 200 g,FARMING,https://www.devoto.com.uy/queso-grana-padano-farming-200-g-270601/p,419.0
156,296.0,270361,Queso magro CONAPROLE grande 50 g,CONAPROLE,https://www.devoto.com.uy/queso-magro-grande-conaprole-el-kg-270361/p,630.0
157,296.0,270387,Queso magro CONAPROLE grande sin sal 50 g,CONAPROLE,https://www.devoto.com.uy/queso-magro-grande-sin-sal-conaprole-el-kg-270387/p,660.0
158,298.0,324484,Batidora PHILIPS Mod. HR3745 con bolsa,PHILIPS,https://www.devoto.com.uy/batidora-philips-mod-hr3745-450w-5-velocidades-con-bolsa-324484/p,3831.3
159,298.0,935164,Batidora PUNKTAL Mod. PK92050,PUNKTAL,https://www.devoto.com.uy/batidora-punktal-pk92050-935164/p,1935.0
160,298.0,865015,Colador estañado de 7cm ILKO clásica,ILKO,https://www.devoto.com.uy/colador-estanado-de-7cm-ilko-clasica-865015/p,159.0
161,298.0,481044,Cortantes galletitas ILKO,ILKO,https://www.devoto.com.uy/cortantes-galletitas-ilko-481044/p,209.0
162,298.0,862694,Molde para galletas x 6 un.,-,https://www.devoto.com.uy/molde-para-galletas-x-6-un--862694/p,249.0
163,298.0,783755,Bowl mixing 28cm acero mate,-,https://www.devoto.com.uy/bowl-mixing-28cm-acero-mate-783755/p,299.0
164,299.0,720040,Almendra pelada RIO DE LA PLATA 100 g,RIO DE LA PLATA,https://www.devoto.com.uy/almendra-pelada-rio-de-la-plata-100-g-720040/p,165.0
